Time (per),Total Time (ns),Num Calls,Avg(ns),Med(ns),Min(ns),Max(ns),StdDev(ns),Name
30.0,528110261,500,1056220.5,16631.5,7950,30531299,4944229.9,cudaMemcpyAsync
25.9,454970133,7376,61682.5,12111.0,5752,71431869,1237017.7,cudaLaunchKernel
20.6,362103536,64568,5608.1,5136.0,3396,6180324,26319.6,cudaEventRecord
10.3,180803885,64568,2800.2,1846.0,1026,5542220,26515.7,cudaEventCreate
8.9,155929730,64568,2415.0,2519.0,1050,48394,1112.8,cudaEventSynchronize
2.9,51777418,64568,801.9,739.0,582,39032,475.5,cudaEventDestroy
0.3,5878957,246,23898.2,7294.0,2921,193305,45355.5,cudaStreamSynchronize
0.3,4602929,1,4602929.0,4602929.0,4602929,4602929,0.0,cudaProfilerStop
0.3,4543410,20,227170.5,246987.0,5268,279024,64096.5,cudaMalloc
0.2,4154240,2,2077120.0,2077120.0,1070138,3084102,1424087.6,cudaGetDeviceProperties_v2_v12000
0.2,2733465,1,2733465.0,2733465.0,2733465,2733465,0.0,cudaFree
0.1,1162372,2,581186.0,581186.0,42905,1119467,761244.3,cudaHostAlloc
0.0,545584,1,545584.0,545584.0,545584,545584,0.0,cudaDeviceSynchronize
0.0,356563,317,1124.8,1059.0,812,4234,295.9,cudaStreamIsCapturing_v10000
0.0,233193,840,277.6,247.0,98,5464,213.2,cuGetProcAddress_v2
0.0,81657,7,11665.3,10757.0,9157,17723,2879.9,cudaMemsetAsync
0.0,22587,18,1254.8,632.0,500,5366,1469.9,cudaEventCreateWithFlags
0.0,7680,3,2560.0,2593.0,2158,2929,386.6,cuInit
0.0,4529,1,4529.0,4529.0,4529,4529,0.0,cudaProfilerStart
0.0,1879,2,939.5,939.5,508,1371,610.2,cudaGetDriverEntryPoint_v11030
0.0,1608,3,536.0,205.0,172,1231,602.1,cuModuleGetLoadingMode



