name,start,end,duration,streamId,correlationId
elementwise_kernel,1970-01-01 00:00:07.296179783,1970-01-01 00:00:07.296181607,5.066666666666667e-10,7,1640
elementwise_kernel,1970-01-01 00:00:07.319909489,1970-01-01 00:00:07.319911345,5.155555555555556e-10,7,1674
indexSelectSmallIndex,1970-01-01 00:00:07.337689866,1970-01-01 00:00:07.337691594,4.8e-10,7,1820
reduce_kernel,1970-01-01 00:00:07.338627271,1970-01-01 00:00:07.338628391,3.1111111111111114e-10,7,1914
reduce_kernel,1970-01-01 00:00:07.338753479,1970-01-01 00:00:07.338754535,2.933333333333333e-10,7,1945
DeviceScanInitKernel,1970-01-01 00:00:07.364088686,1970-01-01 00:00:07.364089742,2.933333333333333e-10,7,1995
DeviceScanKernel,1970-01-01 00:00:07.367953542,1970-01-01 00:00:07.367955430,5.244444444444445e-10,7,2005
vectorized_layer_norm_kernel,1970-01-01 00:00:07.382319205,1970-01-01 00:00:07.382320517,3.644444444444445e-10,7,2027
indexSelectSmallIndex,1970-01-01 00:00:07.382809828,1970-01-01 00:00:07.382811332,4.1777777777777775e-10,7,2073
DeviceScanInitKernel,1970-01-01 00:00:07.383469219,1970-01-01 00:00:07.383470307,3.0222222222222225e-10,7,2181
DeviceScanKernel,1970-01-01 00:00:07.383487011,1970-01-01 00:00:07.383489219,6.133333333333333e-10,7,2191
vectorized_layer_norm_kernel,1970-01-01 00:00:07.383567523,1970-01-01 00:00:07.383568771,3.4666666666666666e-10,7,2213
elementwise_kernel,1970-01-01 00:00:07.383675874,1970-01-01 00:00:07.383677250,3.8222222222222223e-10,7,2229
indexSelectSmallIndex,1970-01-01 00:00:07.456811838,1970-01-01 00:00:07.456813182,3.7333333333333334e-10,7,2241
indexSelectSmallIndex,1970-01-01 00:00:07.457877820,1970-01-01 00:00:07.457883580,1.6e-09,7,2362
indexSelectSmallIndex,1970-01-01 00:00:07.458136891,1970-01-01 00:00:07.458141147,1.1822222222222224e-09,7,2423
reduce_kernel,1970-01-01 00:00:07.459135801,1970-01-01 00:00:07.459137273,4.088888888888889e-10,7,2454
elementwise_kernel,1970-01-01 00:00:07.459319896,1970-01-01 00:00:07.459321208,3.644444444444445e-10,7,2476
reduce_kernel,1970-01-01 00:00:07.471562621,1970-01-01 00:00:07.471566077,9.6e-10,7,2502
vectorized_layer_norm_kernel,1970-01-01 00:00:07.473646264,1970-01-01 00:00:07.473650168,1.0844444444444445e-09,7,2588
gemmSN_NN_kernel,1970-01-01 00:00:07.517965429,1970-01-01 00:00:07.517998869,9.288888888888889e-09,7,3777
elementwise_kernel,1970-01-01 00:00:07.532695700,1970-01-01 00:00:07.532697876,6.044444444444445e-10,7,3935
elementwise_kernel,1970-01-01 00:00:07.532948755,1970-01-01 00:00:07.532950803,5.688888888888889e-10,7,3982
elementwise_kernel,1970-01-01 00:00:07.533126931,1970-01-01 00:00:07.533128691,4.888888888888889e-10,7,4029
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.536516107,1970-01-01 00:00:07.536527787,3.2444444444444443e-09,7,4140
gemmSN_NN_kernel,1970-01-01 00:00:07.537062058,1970-01-01 00:00:07.537080106,5.013333333333333e-09,7,4227
reduce_kernel,1970-01-01 00:00:07.537280585,1970-01-01 00:00:07.537282249,4.6222222222222226e-10,7,4255
vectorized_layer_norm_kernel,1970-01-01 00:00:07.537489865,1970-01-01 00:00:07.537494121,1.1822222222222224e-09,7,4311
elementwise_kernel,1970-01-01 00:00:07.537814408,1970-01-01 00:00:07.537858760,1.2319999999999999e-08,7,4367
elementwise_kernel,1970-01-01 00:00:07.547363059,1970-01-01 00:00:07.547364659,4.4444444444444443e-10,7,4389
elementwise_kernel,1970-01-01 00:00:07.589808659,1970-01-01 00:00:07.589810355,4.711111111111111e-10,7,4417
elementwise_kernel,1970-01-01 00:00:07.589961107,1970-01-01 00:00:07.589962483,3.8222222222222223e-10,7,4433
reduce_kernel,1970-01-01 00:00:07.590061011,1970-01-01 00:00:07.590062483,4.088888888888889e-10,7,4449
elementwise_kernel,1970-01-01 00:00:07.590127059,1970-01-01 00:00:07.590128339,3.5555555555555555e-10,7,4465
elementwise_kernel,1970-01-01 00:00:07.596271685,1970-01-01 00:00:07.596273125,4e-10,7,4481
elementwise_kernel,1970-01-01 00:00:07.597105731,1970-01-01 00:00:07.597107075,3.7333333333333334e-10,7,4497
cudaMemsetAsync_v3020,1970-01-01 00:00:07.597220547,1970-01-01 00:00:07.597221987,4e-10,7,4513
scal_kernel,1970-01-01 00:00:07.603734900,1970-01-01 00:00:07.603736116,3.377777777777778e-10,7,4555
sgemm_largek_lds64,1970-01-01 00:00:07.603748276,1970-01-01 00:00:07.603800180,1.4417777777777779e-08,7,4558
globalKernel,1970-01-01 00:00:07.619680208,1970-01-01 00:00:07.619682256,5.688888888888889e-10,7,4561
reduce_kernel,1970-01-01 00:00:07.619985168,1970-01-01 00:00:07.619987152,5.511111111111111e-10,7,4589
vectorized_layer_norm_kernel,1970-01-01 00:00:07.620264911,1970-01-01 00:00:07.620269199,1.1911111111111112e-09,7,4645
gemmSN_NN_kernel,1970-01-01 00:00:07.620540238,1970-01-01 00:00:07.620571790,8.764444444444443e-09,7,4700
elementwise_kernel,1970-01-01 00:00:07.621377740,1970-01-01 00:00:07.621379948,6.133333333333333e-10,7,4858
elementwise_kernel,1970-01-01 00:00:07.621546956,1970-01-01 00:00:07.621549004,5.688888888888889e-10,7,4905
elementwise_kernel,1970-01-01 00:00:07.621703052,1970-01-01 00:00:07.621704844,4.977777777777778e-10,7,4952
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.622133131,1970-01-01 00:00:07.622148779,4.3466666666666665e-09,7,5063
gemmSN_NN_kernel,1970-01-01 00:00:07.622519818,1970-01-01 00:00:07.622538282,5.128888888888889e-09,7,5149
reduce_kernel,1970-01-01 00:00:07.622693866,1970-01-01 00:00:07.622695594,4.8e-10,7,5177
vectorized_layer_norm_kernel,1970-01-01 00:00:07.622885449,1970-01-01 00:00:07.622889737,1.1911111111111112e-09,7,5233
elementwise_kernel,1970-01-01 00:00:07.623163816,1970-01-01 00:00:07.623205512,1.1582222222222222e-08,7,5288
elementwise_kernel,1970-01-01 00:00:07.623306824,1970-01-01 00:00:07.623308488,4.6222222222222226e-10,7,5310
elementwise_kernel,1970-01-01 00:00:07.623433672,1970-01-01 00:00:07.623435336,4.6222222222222226e-10,7,5338
elementwise_kernel,1970-01-01 00:00:07.623492584,1970-01-01 00:00:07.623493896,3.644444444444445e-10,7,5354
reduce_kernel,1970-01-01 00:00:07.623548488,1970-01-01 00:00:07.623549896,3.9111111111111107e-10,7,5370
elementwise_kernel,1970-01-01 00:00:07.623611719,1970-01-01 00:00:07.623612999,3.5555555555555555e-10,7,5386
elementwise_kernel,1970-01-01 00:00:07.623666439,1970-01-01 00:00:07.623667943,4.1777777777777775e-10,7,5402
elementwise_kernel,1970-01-01 00:00:07.623727463,1970-01-01 00:00:07.623728775,3.644444444444445e-10,7,5418
cudaMemsetAsync_v3020,1970-01-01 00:00:07.623786471,1970-01-01 00:00:07.623787911,4e-10,7,5434
scal_kernel,1970-01-01 00:00:07.623970759,1970-01-01 00:00:07.623972039,3.5555555555555555e-10,7,5475
sgemm_largek_lds64,1970-01-01 00:00:07.623980359,1970-01-01 00:00:07.624032487,1.448e-08,7,5478
globalKernel,1970-01-01 00:00:07.624033095,1970-01-01 00:00:07.624035335,6.222222222222223e-10,7,5481
reduce_kernel,1970-01-01 00:00:07.624177670,1970-01-01 00:00:07.624179622,5.422222222222222e-10,7,5509
vectorized_layer_norm_kernel,1970-01-01 00:00:07.624403846,1970-01-01 00:00:07.624408070,1.1733333333333332e-09,7,5565
gemmSN_NN_kernel,1970-01-01 00:00:07.624647877,1970-01-01 00:00:07.624679653,8.826666666666668e-09,7,5620
elementwise_kernel,1970-01-01 00:00:07.625428611,1970-01-01 00:00:07.625430787,6.044444444444445e-10,7,5778
elementwise_kernel,1970-01-01 00:00:07.625586819,1970-01-01 00:00:07.625588867,5.688888888888889e-10,7,5825
elementwise_kernel,1970-01-01 00:00:07.625739331,1970-01-01 00:00:07.625741123,4.977777777777778e-10,7,5872
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.626131746,1970-01-01 00:00:07.626147426,4.355555555555555e-09,7,5983
gemmSN_NN_kernel,1970-01-01 00:00:07.626500673,1970-01-01 00:00:07.626518849,5.0488888888888885e-09,7,6069
