
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         7.33%      73.508ms        12.76%     127.910ms     106.592us     138.364ms        13.28%     156.981ms     130.817us          1200  
                                       aten::layer_norm         0.96%       9.615ms        10.45%     104.788ms     161.212us      14.042ms         1.35%     109.381ms     168.278us           650  
                     aten::scaled_dot_product_attention         0.71%       7.096ms        10.10%     101.284ms     337.614us       9.283ms         0.89%     103.612ms     345.373us           300  
                                aten::native_layer_norm         4.64%      46.572ms         9.08%      91.021ms     140.032us      55.591ms         5.34%      95.339ms     146.675us           650  
          aten::_scaled_dot_product_efficient_attention         1.99%      19.990ms         9.19%      92.200ms     307.334us      19.992ms         1.92%      94.329ms     314.430us           300  
                                        aten::transpose         3.48%      34.921ms         5.43%      54.450ms      22.225us      50.435ms         4.84%      72.363ms      29.536us          2450  
                                            aten::empty         3.49%      34.975ms         3.54%      35.484ms       7.436us      67.637ms         6.49%      67.637ms      14.174us          4772  
                                             aten::view         1.77%      17.784ms         1.77%      17.784ms       3.261us      57.840ms         5.55%      57.840ms      10.607us          5453  
                                     aten::masked_fill_         0.09%     910.055us         5.72%      57.345ms       1.147ms      57.719ms         5.54%      57.719ms       1.154ms            50  
                                            aten::split         1.24%      12.454ms         5.52%      55.380ms     184.599us      14.030ms         1.35%      57.644ms     192.147us           300  
                                              aten::pow         1.28%      12.873ms         4.85%      48.654ms     162.181us      46.218ms         4.44%      50.845ms     169.483us           300  
                                              aten::mul         2.21%      22.196ms         3.82%      38.323ms      29.479us      47.363ms         4.55%      47.363ms      36.433us          1300  
                                           aten::linear         0.14%       1.399ms         1.49%      14.967ms     299.335us       1.270ms         0.12%      43.765ms     875.300us            50  
                                           aten::narrow         1.23%      12.369ms         3.71%      37.206ms      41.340us      18.104ms         1.74%      43.614ms      48.460us           900  
                                              aten::add         2.40%      24.059ms         3.42%      34.345ms      25.441us      42.579ms         4.09%      42.579ms      31.540us          1350  
                                           aten::matmul         0.22%       2.162ms         1.05%      10.570ms     211.402us       1.353ms         0.13%      39.762ms     795.240us            50  
                     aten::_efficient_attention_forward         1.76%      17.648ms         3.59%      36.048ms     120.160us      24.352ms         2.34%      39.199ms     130.663us           300  
                                               aten::mm         0.22%       2.204ms         0.61%       6.071ms     121.413us      36.919ms         3.54%      36.919ms     738.380us            50  
                                             aten::isin         0.46%       4.626ms         3.64%      36.452ms     714.753us       4.739ms         0.45%      36.821ms     721.980us            51  
                                       aten::as_strided         0.67%       6.752ms         0.67%       6.752ms       1.607us      36.143ms         3.47%      36.143ms       8.601us          4202  
